user,dst_port,country,anomaly
b244d142,443,United States,1
1021694a,80,United States,1
1021694a,80,United States,1
1021694a,80,United States,1
142f88ad,443,United States,1
73a649d0,443,Israel,1
73a649d0,443,Israel,1
73a649d0,443,Israel,1
73a649d0,443,Israel,1
73a649d0,443,Israel,1
73a649d0,443,Israel,1
79e8f478,80,United States,1
79e8f478,80,United States,1
73a649d0,443,Israel,1
73a649d0,443,Israel,1
6f391535,53,Israel,1
6f391535,53,Israel,1
73a649d0,443,Israel,1
73a649d0,443,Israel,1
73a649d0,443,Israel,1
73a649d0,443,Israel,1
6f391535,53,Israel,1
6f391535,53,Israel,1
6f391535,53,Israel,1
6f391535,53,Israel,1
6f391535,53,United States,1
6f391535,53,United States,1
6f391535,53,United States,1
79e8f478,80,United States,1
79e8f478,80,United States,1
e872b304,443,Israel,1
e872b304,443,Israel,1
e872b304,443,Israel,1
e872b304,443,Israel,1
47a39ca0,443,United States,1
986d94cb,443,Portugal,1
1021694a,80,United States,1
1021694a,80,United States,1
79e8f478,80,United States,1
79e8f478,80,United States,1
6f391535,53,Bulgaria,1
6f391535,53,Bulgaria,1
6f391535,53,Bulgaria,1
da66a2db,443,Israel,1
da66a2db,443,Israel,1
da66a2db,443,Israel,1
da66a2db,443,Israel,1
da66a2db,443,Israel,1
da66a2db,443,Israel,1
da66a2db,443,Israel,1
da66a2db,443,Israel,1
6f391535,53,Israel,1
6f391535,53,Israel,1
dcb729df,443,Israel,1
dcb729df,443,Israel,1
dcb729df,443,Israel,1
dcb729df,443,Israel,1
dcb729df,443,Israel,1
dcb729df,443,Israel,1
79e8f478,80,United States,1
79e8f478,80,United States,1
6f391535,53,France,1
6f391535,53,France,1
6f391535,53,France,1
6f391535,53,United States,1
6f391535,53,United States,1
6f391535,53,United States,1
58f0f43a,53,Portugal,1
58f0f43a,53,Portugal,1
6f391535,53,United States,1
6f391535,53,United States,1
6f391535,53,United States,1
6f391535,53,United States,1
6f391535,53,United States,1
6f391535,53,United States,1
6f391535,53,United States,1
6f391535,53,United Kingdom,1
6f391535,53,United Kingdom,1
e3e88045,80,United States,1
e3e88045,80,United States,1
e3e88045,80,United States,1
e3e88045,80,United States,1
79e8f478,80,United States,1
79e8f478,80,United States,1
af39a3af,80,United Kingdom,1
af39a3af,80,United Kingdom,1
d48914d7,80,China,1
d48914d7,80,China,1
6f391535,53,Ireland,1
6f391535,53,Ireland,1
79e8f478,80,United States,1
79e8f478,80,United States,1
362f59eb,443,United States,1
362f59eb,443,United States,1
6f391535,53,United Kingdom,1
6f391535,53,United Kingdom,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,United States,1
6f391535,53,United States,1
6f391535,53,United States,1
6f391535,53,France,1
79e8f478,80,United States,1
79e8f478,80,United States,1
5a5a5568,443,Norway,1
5a5a5568,443,Norway,1
5a5a5568,443,Norway,1
6f391535,53,Netherlands,1
6f391535,53,Israel,1
6f391535,53,Israel,1
6f391535,53,Israel,1
6f391535,53,Israel,1
6f391535,53,Israel,1
6f391535,53,Israel,1
6f391535,53,Israel,1
6f391535,53,Israel,1
6f391535,53,Israel,1
6f391535,53,Israel,1
6f391535,53,Israel,1
6f391535,53,Israel,1
6f391535,53,Israel,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
6f391535,53,Russia,1
6f391535,53,Russian Federation,1
